case,time_s,x_mm,rear_y_mm,front_y_mm,yaw_deg,raw_offset_mm,filtered_track_err_mm,rear_est_mm,w_cmd_deg_s,left_cmd_mm_s,right_cmd_mm_s,left_act_mm_s,right_act_mm_s,sensor_bitmap,sensor_valid,motor_saturated
contract_degraded_offset,7.41,1375.959216020571,-33.201074494247806,-34.53337538917835,-0.4771006280643479,32.45,-32.449999999999996,-31.11769910506945,7.0823209515297165,208.34366280188405,191.65633719811595,191.68317842710135,191.6487191009769,96.0,1.0,0.0
contract_degraded_offset,7.42,1377.875809158464,-33.21703210475328,-34.548929207336386,-0.4769560255694572,32.45,-32.449999999999996,-31.11810289741689,7.082141425508401,208.34345130277293,191.65654869722707,191.68284305463567,191.6490836362657,96.0,1.0,0.0
contract_degraded_offset,7.43,1379.7924024804422,-33.23298492376206,-34.56448643662056,-0.47681436052725557,32.45,-32.449999999999996,-31.118498487141494,7.081965546377359,208.34324410005317,191.65675589994683,191.68251440988104,191.6494408588251,96.0,1.0,0.0
contract_degraded_offset,7.44,1381.7089959827904,-33.248933048619165,-34.58004700979174,-0.47667557399816035,32.45,-32.449999999999996,-31.118886038827416,7.081793240962172,208.34304110751822,191.65695889248178,191.68219236053568,191.64979091246138,96.0,1.0,0.0
contract_degraded_offset,7.45,1383.625589661867,-33.264876574716055,-34.595610860894965,-0.47653960820206503,32.45,-32.449999999999996,-31.119265713821086,7.0816244375279345,208.3428422406574,191.6571577593426,191.68187677681442,191.65013393824535,96.0,1.0,0.0
contract_degraded_offset,7.46,1385.5421835141028,-33.28081559552909,-34.61117792523626,-0.4764064064962715,32.45,-32.449999999999996,-31.11963767029282,7.081459065751853,208.34264741662358,191.65735258337642,191.68156753140366,191.65047007456138,96.0,1.0,0.0
contract_degraded_offset,7.47,1387.4587775359996,-33.29675020265726,-34.626748139359904,-0.47627591335381586,32.45,-32.449999999999996,-31.12000206329735,7.081297056696339,208.3424565542016,191.6575434457984,191.68126449941693,191.65079945715573,96.0,1.0,0.0
contract_degraded_offset,7.48,1389.3753717241302,-33.31268048585911,-34.64232144102587,-0.476148074342186,32.45,-32.449999999999996,-31.120359044833233,7.081138342782582,208.34226957377703,191.65773042622297,191.68096755835109,191.6511222191838,96.0,1.0,0.0
contract_degraded_offset,7.49,1391.2919660751343,-33.32860653308911,-34.657897769187855,-0.4760228361024206,32.45,-32.449999999999996,-31.120708763901252,7.080982857764608,208.3420863973057,191.6579136026943,191.68067658804372,191.65143849125707,96.0,1.0,0.0
contract_degraded_offset,7.5,1393.2085605857183,-33.344528430533146,-34.673477063971454,-0.47590014632858724,32.45,-32.449999999999996,-31.121051366561687,7.080830536703795,208.3419069482836,191.6580930517164,191.6803914706304,191.6517484014889,96.0,1.0,0.0
contract_degraded_offset,7.51,1395.1251552526546,-33.36044626264356,-34.68905926665296,-0.4757799537476302,32.45,-32.449999999999996,-31.121386995990598,7.080681315943854,208.3417311517174,191.6582688482826,191.6801120905035,191.65205207553987,96.0,1.0,0.0
contract_degraded_offset,7.5200000000000005,1397.0417500727817,-33.376360112173266,-34.70464431963817,-0.475662208099584,32.45,-32.449999999999996,-31.121715792535092,7.080535133086269,208.3415589340956,191.6584410659044,191.67983833427107,191.65234963666214,96.0,1.0,0.0
contract_degraded_offset,7.53,1398.9583450429989,-33.39227006020937,-34.720232166441825,-0.47554686011814573,32.45,-32.449999999999996,-31.122037893767544,7.080391926966172,208.34139022336004,191.65860977663996,191.67957009071642,191.65264120574327,96.0,1.0,0.0
contract_degraded_offset,7.54,1400.8749401602677,-33.40817618620619,-34.73582275166731,-0.4754338615116013,32.45,-32.449999999999996,-31.122353434538883,7.08025163762866,208.341224948878,191.658775051122,191.67930725075888,191.65292690134925,96.0,1.0,0.0
contract_degraded_offset,7.55,1402.7915354216116,-33.42407856801746,-34.75141602098658,-0.47532316494409904,32.45,-32.449999999999996,-31.122662547030867,7.080114206305552,208.34106304141486,191.65893695858514,191.67904970741463,191.65320683976688,96.0,1.0,0.0
contract_degraded_offset,7.5600000000000005,1404.7081308241127,-33.43997728192808,-34.76701192112064,-0.47521472401726567,32.45,-32.449999999999996,-31.122965360807438,7.079979575392566,208.34090443310714,191.65909556689286,191.6787973557583,191.65348113504544,96.0,1.0,0.0
contract_degraded_offset,7.57,1406.6247263649113,-33.455872402685166,-34.782610399820065,-0.47510849325215726,32.45,-32.449999999999996,-31.123262002865093,7.079847688426902,208.34074905743623,191.65925094256377,191.67855009288556,191.6537498990375,96.0,1.0,0.0
contract_degraded_offset,7.58,1408.5413220412058,-33.47176400352855,-34.79821140584615,-0.475004428071542,32.45,-32.449999999999996,-31.12355259768239,7.079718490065254,208.3405968492023,191.6594031507977,191.67830781787578,191.65401324143943,96.0,1.0,0.0
contract_degraded_offset,7.59,1410.457917850249,-33.487652156220655,-34.81381488895216,-0.4749024847825075,32.45,-32.449999999999996,-31.12383726726849,7.079591926062212,208.340447744499,191.659552255501,191.67807043175586,191.6542712698306,96.0,1.0,0.0
contract_degraded_offset,7.6000000000000005,1412.3745137893504,-33.50353693107583,-34.82942079986498,-0.47480262055938743,32.45,-32.449999999999996,-31.124116131210844,7.079467943249066,208.34030168068838,191.65969831931162,191.67783783746424,191.65452408971274,96.0,1.0,0.0
contract_degraded_offset,7.61,1414.2911098558725,-33.51941839698906,-34.84502909026707,-0.474704793427005,32.45,-32.449999999999996,-31.124389306721984,7.079346489513006,208.34015859637654,191.65984140362346,191.67760993981557,191.65477180454823,96.0,1.0,0.0
contract_degraded_offset,7.62,1416.2077060472309,-33.53529662146423,-34.86063971277876,-0.4746089622442223,32.45,-32.449999999999996,-31.124656908685456,7.079227513776692,208.34001843138935,191.65998156861065,191.67738664546638,191.65501451579735,96.0,1.0,0.0
contract_degraded_offset,7.63,1418.1243023608924,-33.55117167064165,-34.87625262094074,-0.4745150866877945,32.45,-32.449999999999996,-31.12491904970091,7.079110965978213,208.33988112674905,191.66011887325095,191.67716786288082,191.6552523229556,96.0,1.0,0.0
contract_degraded_offset,7.640000000000001,1420.0408987943754,-33.56704360932534,-34.891867769197,-0.47442312723652447,32.45,-32.449999999999996,-31.125175840128335,7.078996797051412,208.3397466246509,191.6602533753491,191.67695350229712,191.65548532359,96.0,1.0,0.0
contract_degraded_offset,7.65,1421.957495345247,-33.582912501009446,-34.90748511287792,-0.47433304515570873,32.45,-32.449999999999996,-31.125427388131516,7.078884958906579,208.33961486844058,191.66038513155942,191.6767434756951,191.65571361337487,96.0,1.0,0.0
contract_degraded_offset,7.66,1423.8740920111247,-33.598778407904405,-34.92310460818377,-0.47424480248187384,32.45,-32.449999999999996,-31.12567379972063,7.078775404411499,208.33948580259172,191.66051419740828,191.6765376967631,191.65593728612703,96.0,1.0,0.0
contract_degraded_offset,7.67,1425.7906887896725,-33.61464139096254,-34.93872621216845,-0.47415836200779604,32.45,-32.449999999999996,-31.12591517879409,7.078668087372852,208.33935937268416,191.66064062731584,191.67633608086692,191.65615643384024,96.0,1.0,0.0
contract_degraded_offset,7.68,1427.707285678601,-33.63050150990304,-34.954349882723434,-0.4740736872677986,32.45,-32.449999999999996,-31.126151627179603,7.0785629625179585,208.3392355253822,191.6607644746178,191.67613854501818,191.65637114671924,96.0,1.0,0.0
contract_degraded_offset,7.69,1429.6238826756687,-33.64635882323658,-34.96997557856213,-0.47399074252332557,32.45,-32.449999999999996,-31.12638324467445,7.078459985476877,208.3391142084138,191.6608857915862,191.67594500784378,191.65658151321315,96.0,1.0,0.0
contract_degraded_offset,7.7,1431.540479778677,-33.66221338828942,-34.9856032592044,-0.47390949274878197,32.45,-32.449999999999996,-31.12661012908502,7.078359112764812,208.3389953705496,191.6610046294504,191.6757553895556,191.65678762004814,96.0,1.0,0.0
contract_degraded_offset,7.71,1433.457076985473,-33.678065261227076,-35.00123288496146,-0.473829903617642,32.45,-32.449999999999996,-31.12683237626561,7.078260301764878,208.3388789615828,191.6611210384172,191.67556961192088,191.6569895522598,96.0,1.0,0.0
contract_degraded_offset,7.72,1435.3736742939461,-33.69391449707743,-35.016864416920924,-0.47375194148881467,32.45,-32.449999999999996,-31.1270500801565,7.078163510711168,208.3387649323091,191.6612350676909,191.67538759823307,191.6571873932248,96.0,1.0,0.0
contract_degraded_offset,7.73,1437.2902717020283,-33.709761149753476,-35.03249781693217,-0.47367557339326655,32.45,-32.449999999999996,-31.1272633328213,7.078068698672141,208.3386532345071,191.6613467654929,191.67520927328334,191.65738122469193,96.0,1.0,0.0
